,Type,Modèle,Marque,Kilométrage,État,Première main,Origine,Année-Modèle,Nombre de portes,Secteur,Name,Price,Power,Gear,Fuel
48,"Voitures d'occasion, à vendre",Kuga,Ford,130 000 - 139 999,Très bon,Oui,WW au Maroc,2014,5,,Ford Kuga diesel reprise OK,146 000 DH,8 CV,Manuelle,Diesel
49,"Voitures d'occasion, à vendre",Logan,Dacia,60 000 - 64 999,Très bon,Oui,WW au Maroc,2019,5,,Dacia Logan diesel reprise OK,93 000 DH,6 CV,Manuelle,Diesel
50,"Voitures d'occasion, à vendre",C-HR,Toyota,85 000 - 89 999,Très bon,Oui,WW au Maroc,2019,5,,Toyota hybride C-HR 3amra,199 000 DH,10 CV,Automatique,Hybride
51,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,150 000 - 159 999,Très bon,Non,Importée neuve,2013,5,,Land Rover,170 000 DH,12 CV,Automatique,Diesel
52,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,130 000 - 139 999,Excellent,,WW au Maroc,2017,5,Aviation,Range Rover Sport,425 000 DH,12 CV,Automatique,Diesel
53,"Voitures d'occasion, à vendre",407,Peugeot,20 000 - 24 999,,,,2010,,,Peugeot 407,32 000 DH,11 CV,,Essence
54,"Voitures d'occasion, à vendre",Ateca,Seat,100 000 - 109 999,Excellent,,WW au Maroc,2019,5,Hay Salam,Seat ateca 2019 ,Prix non spécifié,8 CV,Automatique,Diesel
55,"Voitures d'occasion, à vendre",Picanto,Kia,180 000 - 189 999,Très bon,Non,WW au Maroc,2005,5,,Picanto tout option,55 000 DH,6 CV,Manuelle,Essence
56,"Voitures d'occasion, à vendre",Touran,Volkswagen,40 000 - 44 999,Très bon,Oui,Dédouanée,2019,5,,توران للبيع,290 000 DH,,Automatique,Diesel
57,"Voitures d'occasion, à vendre",508,Peugeot,190 000 - 199 999,Excellent,Oui,WW au Maroc,2011,5,Agdal,peugeot 508,95 000 DH,6 CV,Manuelle,Diesel
58,"Voitures d'occasion, à vendre",309,Peugeot,5 000 - 9 999,Très bon,Oui,Dédouanée,1991,5,,Peugeot 309,25 000 DH,8 CV,Manuelle,Diesel
59,"Voitures d'occasion, à vendre",Corolla,Toyota,120 000 - 129 999,Bon,Non,WW au Maroc,1999,5,,Toyota corolla,28 000 DH,7 CV,Manuelle,Essence
60,"Voitures d'occasion, à vendre",Kangoo,Renault,110 000 - 119 999,Très bon,Non,WW au Maroc,2011,5,,kangoo,63 000 DH,6 CV,Manuelle,Diesel
61,"Voitures d'occasion, à vendre",Jetta,Volkswagen,60 000 - 64 999,Très bon,Non,WW au Maroc,2016,5,,Volkswagen Jetta ,Prix non spécifié,6 CV,Automatique,Diesel
62,"Voitures d'occasion, à vendre",Ducato,Fiat,95 000 - 99 999,Très bon,Non,WW au Maroc,2019,5,Amicales,Fiat ducato L2H2,157 000 DH,9 CV,Manuelle,Diesel
63,"Voitures d'occasion, à vendre",Tiguan,Volkswagen,45 000 - 49 999,Excellent,,WW au Maroc,2019,5,2 Mars,Tiguan 2019 Diesel,245 000 DH,8 CV,Manuelle,Diesel
64,"Voitures d'occasion, à vendre",Kuga,Ford,110 000 - 119 999,Excellent,Oui,WW au Maroc,2018,5,Florida,Ford Kuga ,187 000 DH,8 CV,Manuelle,Diesel
65,"Voitures d'occasion, à vendre",Caddy,Volkswagen,190 000 - 199 999,Très bon,,Dédouanée,2005,5,Autre secteur,Volkswagen caddy 1.9 TDI ,98 000 DH,8 CV,Manuelle,Diesel
66,"Voitures d'occasion, à vendre",serie_6_coupe,BMW,130 000 - 139 999,6,,WW au Maroc,2005,3,,BMW série 6 ,110 000 DH,17 CV,Automatique,Essence
67,"Voitures d'occasion, à vendre",ESCORT,Ford,75 000 - 79 999,Bon,,WW au Maroc,2000,3,Toute la ville,Ford mli7a,43 000 DH,8 CV,Manuelle,Diesel
68,"Voitures d'occasion, à vendre",Uno,Fiat,180 000 - 189 999,Très bon,Oui,Dédouanée,1992,5,Toute la ville,Fiat,20 000 DH,7 CV,Manuelle,Diesel
69,"Voitures d'occasion, à vendre",500,Fiat,100 000 - 109 999,Excellent,,,2013,,Oulfa,Fiat 500,86 000 DH,,Automatique,Essence
70,"Voitures d'occasion, à vendre",PASSAT CC,Volkswagen,170 000 - 179 999,Excellent,Oui,WW au Maroc,2016,5,,passat cc,170 000 DH,8 CV,Manuelle,Diesel
71,"Voitures d'occasion, à vendre",Qashqai,Nissan,120 000 - 129 999,Très bon,Oui,WW au Maroc,2017,5,Anahda,Qachqayi modil 2017 l3amra 1main,175 000 DH,6 CV,Manuelle,Diesel
72,"Voitures d'occasion, à vendre",i 30,Hyundai,140 000 - 149 999,Bon,Non,WW au Maroc,2014,5,Plateau,Hyundai ,130 000 DH,6 CV,Automatique,Diesel
73,"Voitures d'occasion, à vendre",C-Elysée,Citroen,50 000 - 54 999,Excellent,Non,WW au Maroc,2019,5,,ستروين السي اليزي .,11 500 DH,6 CV,Manuelle,Diesel
74,"Voitures d'occasion, à vendre",Fiesta,Ford,120 000 - 129 999,Très bon,Oui,WW au Maroc,2012,5,2 Mars,Fort fiesta titanium ,Prix non spécifié,6 CV,Manuelle,Diesel
75,"Voitures d'occasion, à vendre",Fiesta,Ford,15 000 - 19 999,Bon,,WW au Maroc,2008,5,2 Mars,Fiesta,62 000 DH,6 CV,Manuelle,Diesel
76,"Voitures d'occasion, à vendre",F1,BYD,350 000 - 399 999,,Non,WW au Maroc,2011,5,,BYD,37 000 DH,5 CV,Manuelle,Essence
